Titolo,Autore,Pagine,Codice
Segreti di archeologia,Sigfried J. De Laet.,172 p.,6.1 4
Seurat,André Chastel.,189 p.,6.1 256
Seurat : la grande jatte,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 139
Silvano D'Ambrosio Angelo Fabbri Alberto Mingotti,Bruno Mantura.,31 p.,6.1 177 Scansionato con CamScanner
}-Simbolismo in Francia,"Adriano Antolini,",16 p.,6.1 30
Simone Martini,Gianfranco Contini.,189 p.,6.1 264
Sisley : un inglese a Parigi,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 141
Storia dell'arte contemporanea,Renato De Fusco.,416 p.,6.1 60
Storia dell' arte italiana,G. Edoardo Mottini.,281 p.,6.1 183
Storia dell'arte italiana grafica e immagine vol.I,"Giovanni Previtali , Federico Zeri , Salvatore Settis.",319 p.,6.1 31
Storia dell'arte italiana grafica e immagine vol.II,"Giovanni Previtali , Fedrico Zeri , Salvatore Settis.",644 p.,6.1 32
Storia Percorsi Testimonianze...,Centro Artisti Salernitani.,126 p.,6.1 278
Tamara de Lempicka,Gilles Neret.,79 p.,6.1 116
Tecniche di pittura murale,Patricia Selignam.,167 p.,6.1 138
-The Modernity of Lyrism,Massimo. Bignardi.,55 p.,6.1 37 sno
Tiepolo : banchetto di Antonio #8. Cleopatra,"Federico Zeri , Marco Dolcetta.",43 p.,6.1 146 di
Tintoretto : ritrovamento del corpo di san Marco,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 170
Tiziano : amor sacro e amor profano,"Federico Zeri , Marco Dolcetta.",48 p.,"6.1 147 {M]}-Tondo Doni : Michelangelo / Federico Zeri , Marco Dolcetta. - Milano : Rizzoli, 1998. - 48 p. ; 30 cm. 6.1 110"
Tono anni trenta,Tommaso Paloscia.,63 p.,6.1 117 Scansionato con CamScanner
Tono in Lucania,Mario De Micheli.,64 p.,6.1 62
Tono Zancanaro,Carlo L. Ragghianti.,176 p.,6.1 125
Tono Zancanaro,"Mauro Corradini , (et al).",203 p.,6.1 148
Tranquillo Cremona : catalogo ragionato,"Rossana Bossaglia , Giovanni Dainotti.",255 p.,6.1 338
Tresors romans d'Italie du sud et de Sicile,Giovanni Coppola.,108 p.,"6,1 161"
Trittici xilografici 1992,Garusso.,,6.1 74
Ugo Marano : tra arte concettuale e progetto di natura,Claudio Caserta.,128 p.,6.1 48
Un artista fin..de siécle : Gaetano D'Agostino,Carmine Tavarone.,93 p.,6.1 145 SI
Un'esperienza | culturale e politica nella Torino degli anni trenta,"Carlo Levi.+ Forino : Archivio di stato Torino, 1985.",109 p.,6.1 98
Un itinerario d'arte,Museo Diocesano San Matteo.,,6.1 115
Un universo inquieto,Rita Levi Montalcini.,255 p.,6.1 205
-Una vita per l'arte : gli 80 anni di Carmine Manzi,Enzo Todaro.,,6.1 184
Van Der Weyden,Alexander Duckers.,189 p.,6.1 279
Van Dick : Marchesa Elena Grimaldi Cattaneo con servitore negro,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 153 Scansionato con CamScanner
Van Dyck,Justus Muller Hofstede.,189 p.,6.1 265
Van Gogh,Gabriele Crepaldi.,63 p.,6.1 55
Van Gogh : genio e follia,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 154
Van Gogh : l'uomo di Arles,"Alessandra Corrias , Paolo Cajelli.",16 p.,"6,1 155"
Vasilij Kandinskij a Martigny,Redazione Arte.,72 p.,6.1 196
Velazquez : Las Meninas,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 156
Vermeer : Astronomo,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 157
Veronese,Guido Piovene.,189 p.,6.1 262
Vorrei,Enzo Todaro.,100 p.,6.1 353
Wanda Fiscina : opere 1989 -1994-,"Antonio D'Avossa , Rubina Giorgi.",70 p.,6.1-.351 i
Wanda Fiscina : opere. recanti .,". Massimo Bignardi ,. Claudio Cerritelli.",,6.1 181
Warhol,"Victor Bockris. + Milario : Corriere della sera, 2004.",189 p.,6.1 261
Watteau : imbarco. per Citera,"Federico Zeri, Marco Dolcetta.",48 p.,6.1 171
Whistler : il musicista dei colori,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 160 Scansionato con CamScanner
Il bene e il male,"Giulio Giorello , Vittorio Sgarbi.",153 p.,6.1 358
Sesto Stato,"Sergio Nannicola , Marco Pellizzola , Sandro Scarrocchia.",385 p.,6.1 359 Scansionato con CamScanner GIOCHI E HOBBY 6.2
Abc degli scacchi,Ugo Pasquinelli.,375 p.,"6,2 3"
Bricolage : l'arte di costruire da sè,"F. Donzelli , D. Di Tommaso.",289 p.,6.2 2
Giocare a dama,Elser Tajè.,160 p.,6.2 4
Giocare a scacchi,"Juri Averbach , Michail Bejllin.",205 p.,6.2 1
L'aeromodellismo,Franco Monteleone.,62 p.,6.2 5 Scansionato con CamScanner SPORT 6.3
Abc del nuoto,Alessandro Cane.,95 p.,6.3 5
Aerobica,Hans Schulz.,118 p.,6.3 34
Allo sport l'omaggio dell'arte,Provincia di Salerno.,350 p.,6.3 49
Annuario dello sport della provincia di Salerno 1999,"Provincia di Salerno , Coni.",184 p.,6.3 42
Antologia della letteratura sportiva italiana,Giuseppe Brunamontini.,433 p.,6.3 3
Atletica mondiale,Roberto L. Quercetani.,343 p.,6.3 29
Basket : l'attacco,"Giancarlo Primo. ‘—- Roma : Edizioni Mediterranee, 1985.",181 p.,6.3 28
Basket : la difesa,Giarcarlo Primo.,204 p.,6.3 27
Camminare per sport,Gary Yanker,287 p.,6.3 40
Campioni del mondo,Vittorio Pozzo.,612 p.,6.3 43
Caro Coppi,"Orio Vergani , Guido Vergani.",257 p.,6.3 45
Donne in forma,Franco Columbu.,181 p.,6.3 8
Esercizi per l'allenamento muscolare,Gianni Leali.,191 p.,6.3 19
Ginnastica e alimentazione,Giorgio Pattinà.,103 p.,6.3 26
Ginnastica jazz,Paola Rizzi.,133 p.,6.3 31 Scansionato con CamScanner
}-Ginnastica medica,Dodj Spagnolini.,109 p.,6.3 35
Gli dei degli stadi,Giordano Goggioli.,153 p.,6.3 58
Gli sport vol. 1,Stefano Jacomuzzi.,714 p.,6.3 16
Gli sport vol. 2,Stefano Jacomuzzi.,,6.3 17
Gli sport vol. 3,Stefano Jacomuzzi.,942 p.,6.3 18
Guida alla mountain bike,"Gianni Micheloni , Francesco Soletti.",224 p.,6.3 23
Il ciclismo,Claudio De Santis,62 p.,6.3 48
Il gioco e gli sport,"Giovanni Enriques , Edgardo Macorini , Geno Pampaloni.",578 p.,6.3 10
Il libro completo della corsa,Jeff Galloway.,281 p.,6.3 13
Il ventre di Maradona,Emanuela Audisio.,225 p.,6.3 60
Il vero basket,"Cesare Rubini.., Giulio Signori.",189 p.,
Il vero sciatore,"Francesco. Freund , ‘Fulvio Campiatti.",,6.3 12 i
Il vero tennis,Gianni Clerici.,142 p.,; 6.3 7
In volo con Delio,Alfredo Pedullà.,160 p.,6.3 61
Industrialismo e sport,Luigi Volpicelli.,124 p.,6.3 55
Kayak d'alto corso,"Francois Cirotteau , Dominique Benazet , Bernard Lambolez.",125 p.,6.3 6
L'arrampicata sportiva,Furio e Luca Pennisi.,174 p.,6.3 25 Scansionato con CamScanner
L'automobilismo,Enzo Lanzotti,62 p.,6.3 47
La corsa,Alfredo Calligaris.,125 p.,6.3 4.
Le Olimpiadi raccontano,Franco Grimaldi.,252 p.,6.3 57
Le tecniche di rilasciamento muscolare,Pasquale Ricciardi.,77 p.,6.3 30
Manuale di canoa e kayak,Paolo Pendola.,172 p.,
Manuale pratico di alimentazione sportiva,"Giorgio Pettinà , PaoloTisot.",76 p.,6.3 37
"""Mo je faccio er cucchiaio""",Francesco Totti.,125 p.,6.3 53
Movimento e natura,Susanna Fiumi.,115 p.,6.3 11
Pallavolo moderna,Riccardo Di Lauro,208 p.,6.3 9
Pensa se non ci avessi provato,Valentino Rossi.,305 p.,6.3 54 i
Punture di. spillo. .,. Enzo Todaro.,,
Sciare nella ‘natur.a,". Livio Stuffer , Giovanni Gastaldo,",126 p.,6.3 26
Scuola d’alpinismo,Reinhold Messner.,143 p.,6.3 21
"Sport, gioia di vivere",Giuseppe Ambrosini.,194 p.,6.3 59
Sport handicap,Massimo Porciani.,182 p.,6.3 46
Storia del calcio in Italia,"Antonio Ghirelli. .- Torino : Einaudi, 1967.",344 p.,I 6.3 14
Storia delle Olimpiadi,"Antonino . Fugardi. —- Bologna: Universale Cappelli, 1962.",298 p.,6.3 56 Scansionato con CamScanner
Stretching,Bob Anderson.,207 p.,6.3 1
"Tu chiamale, se vuoi, emozioni",Giorgio Tosatti.,263 p.,6.3 62
Un modo di vivere in un mondo da vivere,Reinhold Messner.,248 p.,6.3 22
Viva la corsa,Alfredo Rizzo.,126 p.,6.3 32
Zebre in concerto,Vito Telese.,153 p.,6.3 51
Zebrette in C.,Vito Telese.,131 p.,6.3 52
Zebrette per sempre,Vito Telese.,,6.3 50 Scansionato con CamScanner MUSICA 6.4
Al Che,Meri Lao.,446 p.,6.4 77
Antonio Salieri : fatti e documenti,Rudolph Angermuller.,214 p.,6.4 29
Badlands,Alessandro Portelli.,214 p.,6.4 123
Beatles,Beatles.,159 p.,6.4 1
Beethoven : il gigante della musica,Giorgio Pitteri.,249 p.,6.4 111
Bob Dylan,Antony Scaduto.,368 p.,6.4 92
Bob Dylan : Mr. Tambourine,Bob Dylan.,204 p.,6.4 95
Bruce Springsteen,Bruce Springsteen.,350 p.,6.4 56
Cantastorie : Tutte le canzoni,Claudio Baglioni.,380 p.,6.4 66
Cattive ossessichi : la storia dei Guns n'Roses,Mark Putterford.,154 p.,6.4 86
Centouno capolavori : melodramma,Riccardo Malipiero.,205 p.,6.4 35
Certe notti sogno Elvis,Patrizia De Rossi.,141 p.,6.4 59
Chopin,Bernard Gavoty.,492 p.,6.4 97
Christmas and sacred music,Roberto Valentino.,82 p.,6.4 103
Clash,Clash.,,6.4 2
Conte,Enrico De Angelis.,249 p.,6.4 58
Cure : la storia di Robert Smith,Robert Smith.,205 p.,6.4 71
Cut'n'mix,Dick Hebdige.,146 p.,6.4 73
Dalla,Gianfranco Baldazzi.,195 p.,6.4 32
David Bowie,David Bowie.,221 p.,6.4 80
David Bowie : interviste storie e mutamenti 1966-86,David Bowie.,170 p.,6.4 3
David Byrne,David Byrne.,160 p.,6.4 4
David Sylvian Japan,David Sylvian Japan.,157 p.,6.4 5
De Gregori,Giorgio Lo Cascio.,201 p.,6.4 78
Deserto,Jim Morrison.,222 p.,6.4 94
-Discoinferno,"Carlo Antonelli , Fabio De Luca.",,6.4 30
Dove soffia il vento,"Silvio =Zavattis= “Roma : Newton & Compton, 1977.",157 p.,: ERO 6.4 113
Dylan : interviste cronache e saggi dal 1962 ‘él 1984.,Bob Dylan.,,
E'odio mosso da amore,Bisca 99 Posse.,79 p.,6.4 40
Elvis Costello,Elvis Costello.,289 p.,6.47
Enciclopedia della musica,Jean Jacques Nattiez.,568 p.,6.4 116
-Eric Clapton,Eric Clapton.,182 p.,6.4 8 Scansionato con CamScanner
Fabrizio de Andrè : accordi eretici,"Romano Giuffrida , Bruno Bigoni.",225 p.,6.4 69
-Genesis,Genesis.,270 p.,6.4 9
Grateful Dead,Grateful Dead.,174 p.,6.4 57
Guccini,Massimo Bernardini.,139 p.,6.4 34
Guida all'avanguardia e new age,Piero Scafuri.,314 p.,6.4 93
Guida alla musica del diavolo,Antonio Lodetti.,219 p.,6.4 79
Guns N' Roses,Guns N'Roses.,206 p.,6.4 10
"Hai un momento, Liga?",Pino Casamassima.,,
Hendrix,David Henderson.,438 p.,6.4 74
I commitments,Roddy Doyle.,,
I nomadi :- il suono delle idee,Davide Carletti.,185 p.,6.4 50
Il grande Rock video vol. I,Enda editioriale.,140 p.,6.4 11
}-Il grande Rock video vol. III,Enda editoriale.,68 p.,6.4 12
I1l grande Rock video vol. IV,Enda editoriale.,80 p.,6.4 13
Io ho in mente te,Franco Ceccarelli.,103 p.,6.4 54
Janis Joplin,Myra Friedman.,382 p.,6.4 67
Janis Joplin,Autori vari.,143 p.,6.4 14 Scansionato con CamScanner
Joe Jackson,Joe Jackson,165 p.,6.4 15
John Lennon,John Lennon.,143 p.,6.4 82
John Lennon,David Price.,137 p.,6.4 85
John Lennon : vivendo cantando,John Lennon.,170 p.,6.4 99
Keith Jarrett,Ian Carr.,293 p.,6.4 51
La chitarra battente,Ciro Caliendo.,206 p.,6.4 42
La cora e il sax,Elisabetta Tosi.,168 p.,6.4 102
La grande storia del rock,Daniele Caroli.,453 p.,6.4 28
La marcia della Regina nera,"Loredana Zino Vassallo.- Milano : Kaos Edizioni, 1992.",150 p.,6.4 107
La storia di Miriam Makeba,"Miriam Makeba , Nomsa Mwamuka.",295 p.,6.4 117
La terra promessa,Gino Castaldo.,305 p.,6.4 53
La versione di Vasco,Vasco Rossi.,182 p.,6.4 124
Lady Gaga : i mille volti della nuova icona del pop,Lizzy Goodman.,144 p.,6.4 119
Le garzantine : musica,Redazione Garzanti.,1247 p.,6.4 112
Le porte dell'opera,Claudia Pastorino.,246 p.,
Leonard Cohen : il tormento della bellezza,Leonard Cohen.,137 p.,6.4 33
Ligeti,Enzo Restagno.,265 p.,6.4 27 Scansionato con CamScanner
Lou Reed,Lou Reed.,,
Lou Reed : fra pensiero ed espressione scritti scelti,Lou Reed.,197 p.,6.4 44
Lucio Dalla,Paolo Giovanazzi.,21 p.,6.4 121
"Marci, sporchi e imbecilli",Stewart Home.,179 p.,6.4 75
Maria Callas : Lettere d'amore,Renzo Allegri.,210 p.,6.4 115
Miles Davis,Ian Carr,399 p.,6.4 52
Mother Africa,Marco Boccitto.,173 p.,6.4 41
Musica africana,"Chris Stapleton , Chris May.",334 p.,6.4 98
Nannini,Teresa De Santis.,139 p.,6.4 60
Napule è ... Pino Daniele,"Federico Vacalebre , Titta Fiore.",120 p.,6.4 122
Neil Young,Neil Young.,207 p.,x 6.4 17
Nick Cave :: il seme del male,Ian Johnston.,260 p.,6.4 76
Nick Cave : re inkiostro,Nick Cave.,,
Nuovi Poeti Rock Americani,"Pearl Jam , Alice In Chains.",278 p.,6.4 18
Nuovi Poeti Rock Britannici,"Joy Division , (et al).",238 p.,6.4 19
Nuovo? rock! italiano!,Alberto Campo.,142 p.,6.4 43
Paoli,Arnaldo Bagnasco.,197 p.,", 6.4 31 Scansionato con CamScanner"
Peter Gabriel,Peter Gabriel.,143 p.,6.4 20
Pink Floyd,Pink Floyd.,242 p.,6.4 37
Pink Floyd : Sid Barret,"Pink Floyd , Syd Barret.",198 p.,6.4 36
Poguesie,Shane Mac Gowan.,126 p.,6.4 46
Police : Sting,"Police , Sting.",159 p.,6.4 38
Potere alla parola,Pierfrancesco Pacoda.,208 p.,6.4 81
Prince,Prince.,278 p.,6.4 84
Public Enemy,",Public Enemy.",269 p.,6.4 47
Punk,Jon Savage.,584 p.,6.4 91
Rap : storia di una musica nera,David Topp,57 p.,6.4 101
Red Hot Chili Peppers,Red Hot Chili Peppers,118 p.,6.4 21
Regina di Mormanno,Alberto Cafari Panico.,56 p.,6.4 114
Ridi Pagliaccio!,Francesco Canessa.,205 p.,6.4 125
=Rock Around the Clock,Enzo Gentile.,390 p.,6.4 68
Rockin'usa,"Alberto Campo , Guido Chiesa.",332 p.,6.4 49
Rombi e milonghe,David Riondino.,216 p.,
Scritto nell'anima : 29 interviste ai grandi del rock,Bill Flanagan.,376 p.,6.4 65 Scansionato con CamScanner
Sex pistol story,Fred e Judy Vermorel.,300 p.,6.4 104
Simple Minds,Simple Minds.,272 p.,6.4 88
Simple Minds,Simple Minds.,151 p.,6.4 22
Smiths,Smiths.,212 p.,6.4 48
Soul music,Peter Guralnick.,356 p.,6.4 72
Sting,Robert Seller.,163 p.,6.4 96
Storia della canzone italiana,Gianni Borgna.,520 p.,6.4 108
Style Council,Style Council.,147 p.,6.4 23
Syd Barret,"Mike Watkinson , Pete Anderson.",163 p.,6.4 105
Talking Heads : David Byrne,"Talking Heads , David Byrne.",190 p.,6.4 24
Tenco,Aldo Fegatelli.,,
"The Cure % Dave Thompson , Jo-Ann Greene. - Milano : Arcana cm. editrtice;,;1996--1128vp.\29 6i4;100;",CRU IM]=The; Who; Tre Who.,,"editrtice;,;1996--1128vp.\29 6i4;100;/ CRU IM]=The; Who; Tre Who. - Milano : Arcana editrice, 1991. - 174 pot 20-omabtoa 7 6.4 25 Ri"
[M}-U2.,"U2..= Milano : Arcana editrice, 1988.",310 p.,6.4 89
-U2,Eamon Dumphy.,349 p.,6.4 62
Velvet Undeground,Velvet Underground.,208 p.,6.4 26
Vita di Fabrizio De Andrè,Luigi Viva.,248 p.,6.4 110 Scansionato con CamScanner
Viva tutto!,"Lorenzo ""Jovanotti"" Cherubini.",479 p.,6.4 120
Waits,Massimo Cotto.,94 p.,6.4 55
Waterboys,Waterboys.,187 p.,6.4 90
XTC,XTC.,238 p.,6.4 36
Zapp!,Michael Gray.,223 p.,6.4 70 Scansionato con CamScanner FUMETTI 6.5
7° piano,Asa Grennvall.,79 p.,6.5 323
Aficionados,Andrea Pazienza.,47 p.,6.5 68
}-Alack Sinner,"José Munoz , Carlos Sampayo.",253 p.,- (classici del fumetto). 6.5 194
-Alan Ford,Max Bunker.,374 p.,6.5 125
Alan Ford : Superciuk,Max Bunker.,494 p.,6.5 18
"Alan Ford : tutto per uno, uno per tutti",Max Bunker.,381 p.,6.5 208
Alessio,"Milo Manara,",43 p.,6.5 48
Altan,Altan.,271 p.,- (classici del fumetto). 6.5 132
Amori folli,Alex Varenne.,60 p.,
Andreacula,Giorgìci.lorattini.,,AREE : 6.5 101 ehi O
-2iidy Capp,"Reg'Sinyrba Roma : La Repubblica, 2004.",269 p.,- (classici.ne” fumetto). 6.5 158 (RRRRIZIA
Arriva Charlie Brown!,charles M. Shultz.,271 p.,"6,5.:81: « [M]-Asterix / René Goscinny , Albert Uderzo. - Roma : La ‘Repubblica, 2003. - 271 p. ; 21 cm. - (classici del fumetto). 6.5 150"
Asterix e il falcetto d'oro,"Goscinny , Uderzo.",50 p.,6.5 42
Ava,Massimo Cavezzali.,59 p.,6.5 23
Batman,Bob Kane.,271 p.,- (classici del fumetto). 6.5 154 Scansionato con CamScanner
}-Batman : il ritorno del cavaliere oscuro,Frank Miller.,205 p.,6.5 221
Bluebeerry : il tesoro dei confederati,Jean,269 p.,6.5 223
Blueberry : Arizona love,"Jean Giraud , Jean Michel Charlier.",,; 28 cm. 6.5 40
Bobo,Sergio Staino.,272 p.,- (classici del fumetto). 6.5 191
Bobo : Bobo novecento,Sergio Staino.,381 p.,6.5 220
Braccio di Ferro,Elzie Crisler Segar.,271 p.,- (classici del fumetto). 6.5 187
Brendon : lacrima di tenebra,Claudio Chiaverotti.,216 p.,6.5 284
Buzzelli,Guido Buzzelli.,271 p.,- (classici del fumetto). 6.5 196
Capitan Miki contro Magic Face,Esse Gesse.,269 p.,
"Cattivik : Il ""gegno del male"" ‘","Silver,",254 p.,} IRE 6.5 247
Chi è cchiù felice ‘e me! ‘,- Edu:,45 p.,
[M}-Conan,Robert E. Howard.,271 p.,- (classici del fumetto)... 6.5 195
Corto Maltese : corte sconta detta arcana,Hugo Pratt.,158 p.,6.5 71
Corto maltese : Elvetiche,Hugo Pratt.,141 p.,6.5 72
Corto Maltese : la giovinezza,Hugo Pratt.,87 p.,6.5 78
Corto Maltese : Suite Caribeana,Hugo Pratt.,78 p.,6.5 77
Corto Maltese : Suite Caribeana,Hugo Pratt.,288 p.,6.5 203 Scansionato con CamScanner
Cortomaltese,Hugo Pratt.,,- (classici del fumetto). 6.5 140
Cortomaltese : Sotto il sole di mezzanotte,"Juan Dìaz Canales , Rubén Pellejero.",109 p.,6.5 276
Cossiga the best,"Allegra , (et al).",,6.5 1
Cronache dal belpaese,Altan.,253 p.,6.5 227
Cuore compact : la cagnara,Michele Serra.,222 p.,"6.5 ""2"
Dago,"Robin Wood , Albert Salinas.",270 p.,- (classici del fumetto). 6.5 190
Dampyr : I misteri della Transilvania,"Mauro Boselli , Maurizio Colombo.",301 p.,6.5 251
Dampyr : Lo schermo demoniaco,"Mauro Boselli , Maurizio Colombo.",216 p.,6.5 282
}-Devil,"Stan Lee , Bill Everett.",,
[Mj=Devil : L'ucmo senza paura,"Frank Miller , John Romita Jr.",,"Gn. 292 SES : iMi-Diabolik /Argela e/Luciana Giussani. - Roma : La Repubblica, 2063,5= . 271 pioùfbizicom..i. (classici del fumetto). 6.5 136 DOOR o Re"
=Diabolik : ls ferite del. passato,Angela e Luciana Giussani.,381 p.,6.5 212
Diario Vitt',Jacovitti.,221 p.,6.5 218
Dick Tracy,Chester Gould.,271 p.,- (classici del fumetto). 6.5 197
Dilbert,Scott Adams.,269 p.,- (classici del fumetto). 6.5 180
Dimentica il mio nome,ZeroCalcare.,235 p.,6.5 275
Ditegli sempre di sì,Eduardo De Filippo.,,6.5 115 Scansionato con CamScanner
Domu sogni di bambini,Otomo.,253 p.,6.5 256
Doonesbury,G.B. Trudeau.,269 p.,6.5 237
Dylan Dog,Tiziano Sclavi.,271 p.,- (classici del fumetto). 6.5 134
Dylan Dog : Abyss,Tiziano Sclavi.,216 p.,6.5 242
} Dylan Dog : Albo Gigante n.5,Tiziano Sclavi.,232 p.,6.5 82
Dylan Dog : Albo Gigante n.6,Tiziano Sclavi.,232 p.,6.5 83°
Dylan Dog : attraverso lo specchio-il signore del silenzio,Tiziano Sclavi.,202 p.,6.5 85
Dylan Dog : trilogia extraterrestre,Tiziano Sclavi.,301 p.,6.5 206
Dylan Dog : verso un mondo lontano,Tiziano Sclavi.,216 p.,6.5 243
-El gacho,"Manara , Pratt..:- ‘Roma : Lizard, 1996.",142 p.,"sar 6.5 47 îchio. - Torino : Einaudi, 2006."
Esercizi di stilo,Matt 224 p. ; 20 cm. 6.5 298 SEAN,224 p.,6.5 298 SEAN
Eva Kant,Angela e Luciane- Giussani.,271 p.,«<{Classici:del fumetto). 6.5 166 darai
Fantastici quattro,"Stan: Lee , Jack Kirby.",271 p.,6.5 143
Fantastici Quattro : La forza del destino,"Brian M. Bendis , Mark Millar , Adam Kubert.",,6.5 246
Fattoria 54,Galit e Gilad Seliktar.,124 p.,6.5 267
Filumena Marturano,Eduardo De Filippo.,62 p.,6.5 122 Scansionato con CamScanner
Flash Gordon e Rip Kirby,Alex Raymond.,269 p.,- (classici del fumetto). 6.5 188
"Fritz il gatto, Mister Natural e altre storie",R.Crumb.,253 p.,6.5 288
Futuri imperfetti,Enki Bilal.,253 p.,6.5 248
"Gabo : Gabriel Garcia Marquez ""memorie di una vita magica""","Oscar Pantoja , (et al).",175 p.,6.5 324
Geppo e nonna Abelarda : Il diavolo buono e la vecchina,Giovan Battista Carpi.,269 p.,6.5 293
Giovanna D'Arco : Sulle orme della pulzella d'Orleans,Yoshikazu Yasuhiko.,159 p.,6.5 178
Hotel Habanera,"Paolo Conte, Cinzia Leone , Vincenzo Mollica.",95 p.,6.5 28
Hulk,"Stan Lee , Jack Kirby.",269 p.,
I fratelli Adamov,".Charyn , Loustal.",,
I: fumetti: di Mas,"..Jean Chesneaux , (et al).",,
X.grandiniti coreci : l'amore,Luciano De Crescenzo.,154 p.,6.5 340... 5 DR
I crandi miti greci : la creazione del mondo,"Luciano De Crescenzo. += -Mifano : Mondadori, 1995.",170 p.,6.5 35
}-I maestri dell'orzo : La saga degli Steenfort,"Jean Van Hamme , Francis Valies.",365 p.,6.5 249
I mille trucchi della jaguar di Diabolik,Angela e Luciana Giussani.,366 p.,6.5 129
I mille volti di Diabolik,Angela e Luciana Giussani.,487 p.,6.5 41
I mondi magici di Martin Mystère,Alfredo Castelli.,457 p.,6.5 21 Scansionato con CamScanner
I mondi segreti di Martin Mystère,Alfredo Castelli.,575 p.,6.5 103
}-I vendicatori : l'attacco dello squadrone supremo,"Kurt Busiek , George Pérez , Carlos Pacheco.",205 p.,6.5 257
Iey Joe,"Catacchio , Marzaduri.",42 p.,6.5 22
Il Candido di Voltaire a fumetti,Ro Marcenaro.,194 p.,"6,5 55"
Il corvo,James O'Barr.,,6.5 67
Il crollo della casa Usher e altri racconti,"Andrea Mantelli , Luca Rossi.",93 p.,6.5 70 i
Il figlio di Pulcinella,Eduardo De Filippo.,70 p.,6.5 120
Il grande Blek,EsseGesse.,269 p.,- (classici del fumetto). 6.5 181
Il grande Blek & capitan Miki,Salvatore Taormina.,157 p.,6.5 92
}-Il mio nome è Tex,"Giovanni Lvigi Bonelli , Aurelio Galleppini.",251 p.,6:5 12
Il prigioniero delle stelle -.,. Alfonso. Font.,289 p.,... 6.5 126 E DA
Il respiro e il sogno,"Berardii.-& Milazzo; Milano : Hobby & Work, 1991.",99 p.,DON; i 6.5 7 A i
Il segreto di Majorana,"Silvia Récchi, . Francesca Riccioni.",,6.5 165
Il sindaco del rione Sanità,Eduardo De Filippo.,62 p.,6.5 118
Il sorriso dell' Oscura Signora,Tiziano Sclavi.,216 p.,6.5 241
Io dov'ero? : il giorno in cui cadde il muro,"Francesco Ditaranto , Lucrezia Bugané.",62 p.,6.5 89 Scansionato con CamScanner
Iris,Didier Comes.,61 p.,6.5 26
Jeff Hawke,Sydney Jordan.,267 p.,- (classici del fumetto). 6.5 170
Jeff Hawke nello spazio,Sydney Jordan.,309 p.,6.5 128
Jesuit Joe,Hugo Pratt.,95 p.,6.5 73
Julia,Giancarlo Berardi.,269 p.,"- (classici del fumetto). 6,5 159"
Julia : L'investigatrice dell'animo,Giancarlo Berardi.,269 p.,6.5 245
Ken Parker,"Giancarlo Berardi , Ivo Milazzo.",239 p.,(classici del fumetto). 6.5 137
